"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"23/07/2021","179","181","183","178","6,50M","-1,10%"
"22/07/2021","181","178","184","177","14,74M","1,69%"
"21/07/2021","178","177","179","176","3,12M","0,56%"
"19/07/2021","177","177","178","176","5,00M","0,00%"
"16/07/2021","177","180","181","177","6,04M","-1,12%"
"15/07/2021","179","177","180","177","5,78M","1,70%"
"14/07/2021","176","178","178","176","5,67M","-1,12%"
"13/07/2021","178","178","181","177","6,55M","0,00%"
"12/07/2021","178","179","181","177","3,32M","-0,56%"
"09/07/2021","179","181","181","178","5,02M","-1,10%"
"08/07/2021","181","182","183","180","5,12M","-0,55%"
"07/07/2021","182","187","188","181","9,03M","-2,15%"
"06/07/2021","186","179","187","179","21,74M","3,91%"
"05/07/2021","179","177","179","176","4,49M","1,70%"
"02/07/2021","176","178","178","175","5,18M","-0,56%"
"01/07/2021","177","178","180","175","4,03M","-0,56%"
"30/06/2021","178","176","179","175","7,78M","1,14%"
"29/06/2021","176","177","179","176","8,40M","-0,56%"
"28/06/2021","177","182","183","177","12,35M","-2,75%"
"25/06/2021","182","181","184","181","3,88M","0,55%"
"24/06/2021","181","183","184","181","3,81M","-0,55%"
"23/06/2021","182","184","186","182","6,75M","-1,09%"
"22/06/2021","184","182","187","182","10,27M","1,10%"
"21/06/2021","182","183","185","180","11,82M","-1,62%"
"18/06/2021","185","192","194","183","35,21M","-3,65%"
"17/06/2021","192","191","195","191","13,98M","0,00%"
"16/06/2021","192","194","195","192","13,64M","-0,52%"
"15/06/2021","193","194","199","192","34,49M","-0,52%"
"14/06/2021","194","196","198","193","12,51M","-1,02%"
"11/06/2021","196","194","196","193","12,59M","1,03%"
"10/06/2021","194","195","196","193","11,35M","-0,51%"
"09/06/2021","195","196","197","193","10,82M","0,52%"
"08/06/2021","194","198","198","194","18,87M","-1,52%"
"07/06/2021","197","196","199","196","6,10M","0,51%"
"04/06/2021","196","197","197","195","12,01M","-1,01%"
"03/06/2021","198","200","202","198","13,33M","-0,50%"
"02/06/2021","199","199","200","197","12,28M","1,02%"
"31/05/2021","197","198","199","196","14,03M","1,03%"
"28/05/2021","195","196","198","195","10,73M","0,00%"
"27/05/2021","195","196","197","194","14,19M","1,04%"
"25/05/2021","193","194","195","192","14,72M","0,00%"
"24/05/2021","193","195","197","193","11,34M","-0,52%"
"21/05/2021","194","197","199","194","20,03M","-1,52%"
"20/05/2021","197","198","200","196","21,09M","-1,01%"
"19/05/2021","199","204","206","195","65,86M","-2,45%"
"18/05/2021","204","204","208","202","36,48M","0,99%"
"17/05/2021","202","204","208","200","38,05M","0,00%"
"11/05/2021","202","212","216","202","53,52M","-3,81%"
"10/05/2021","210","204","216","202","159,79M","3,96%"
"07/05/2021","202","202","206","202","26,03M","1,00%"
"06/05/2021","200","200","204","200","10,11M","0,00%"
"05/05/2021","200","204","204","200","15,57M","-0,99%"
"04/05/2021","202","202","206","202","25,40M","1,00%"
"03/05/2021","200","200","204","200","12,59M","0,00%"
"30/04/2021","200","204","206","200","14,68M","-1,96%"
"29/04/2021","204","202","208","202","32,15M","2,00%"
"28/04/2021","200","206","206","200","15,93M","-1,96%"
"27/04/2021","204","200","210","197","67,39M","2,51%"
"26/04/2021","199","199","202","198","18,88M","0,00%"
"23/04/2021","199","202","206","199","20,47M","-1,49%"
"22/04/2021","202","206","210","202","35,38M","-0,98%"
"21/04/2021","204","200","212","197","69,13M","2,51%"
"20/04/2021","199","204","206","198","45,75M","-3,40%"
"19/04/2021","206","216","220","202","77,34M","-4,63%"
"16/04/2021","216","199","220","198","181,87M","9,64%"
"15/04/2021","197","198","199","195","8,87M","0,00%"
"14/04/2021","197","192","197","192","15,76M","2,60%"
"13/04/2021","192","195","196","192","18,62M","-1,54%"
"12/04/2021","195","200","200","194","23,26M","-2,01%"
"09/04/2021","199","199","204","198","22,14M","0,00%"
"08/04/2021","199","200","202","197","22,20M","0,00%"
"07/04/2021","199","202","204","198","10,30M","-0,50%"
"06/04/2021","200","199","206","197","30,32M","1,52%"
"05/04/2021","197","200","202","196","14,57M","-1,01%"
"01/04/2021","199","197","202","196","22,69M","2,05%"
"31/03/2021","195","195","198","192","19,98M","0,00%"
"30/03/2021","195","198","200","195","16,55M","-1,52%"
"29/03/2021","198","200","202","197","17,47M","0,00%"
"26/03/2021","198","200","206","194","38,14M","0,00%"
"25/03/2021","198","199","202","194","26,11M","0,00%"
"24/03/2021","198","200","204","197","36,07M","-1,00%"
"23/03/2021","200","208","210","200","59,05M","-2,91%"
"22/03/2021","206","204","212","204","27,01M","0,98%"
"19/03/2021","204","208","210","202","54,12M","-2,86%"
"18/03/2021","210","214","214","208","54,02M","0,00%"
"17/03/2021","210","206","214","200","51,58M","0,00%"
"16/03/2021","210","228","228","210","130,77M","-6,25%"
"15/03/2021","224","218","234","214","179,23M","3,70%"
"12/03/2021","216","212","222","212","36,20M","1,89%"
"10/03/2021","212","218","222","210","55,82M","-1,85%"
"09/03/2021","216","230","234","214","80,87M","-6,09%"
"08/03/2021","230","232","238","222","21,44M","0,00%"
"05/03/2021","230","234","236","228","20,24M","-2,54%"
"04/03/2021","236","238","248","232","32,03M","-0,84%"
"03/03/2021","238","236","252","228","103,71M","0,85%"
"02/03/2021","236","248","252","236","103,77M","-6,35%"
"01/03/2021","252","232","256","224","141,52M","10,53%"
"26/02/2021","228","234","238","224","39,38M","-4,20%"
"25/02/2021","238","238","242","232","39,57M","0,00%"
"24/02/2021","238","244","248","232","43,00M","-2,46%"
"23/02/2021","244","252","256","242","89,01M","-0,81%"
"22/02/2021","246","240","250","228","144,24M","4,24%"
"19/02/2021","236","208","264","208","733,88M","11,32%"
"18/02/2021","212","208","218","206","21,39M","1,92%"
"17/02/2021","208","216","218","206","16,21M","-3,70%"
"16/02/2021","216","214","218","212","9,19M","0,93%"
"15/02/2021","214","224","226","212","35,21M","-3,60%"
"11/02/2021","222","212","230","208","129,80M","5,71%"
"10/02/2021","210","210","216","204","35,69M","0,00%"
"09/02/2021","210","212","220","206","59,95M","0,00%"
"08/02/2021","210","190","212","190","117,10M","2,94%"
"05/02/2021","204","204","204","204","15,59M","-6,42%"
"04/02/2021","218","236","238","218","58,80M","-6,84%"
"03/02/2021","234","222","240","216","63,87M","5,41%"
"02/02/2021","222","230","230","212","59,60M","-0,89%"
"01/02/2021","224","204","228","197","108,43M","9,80%"
"29/01/2021","204","192","210","185","77,36M","6,25%"
"28/01/2021","192","198","204","190","43,09M","-4,00%"
"27/01/2021","200","204","210","195","30,72M","-1,96%"
"26/01/2021","204","212","218","200","28,36M","-3,77%"
"25/01/2021","212","214","222","210","30,38M","-4,50%"
"22/01/2021","222","232","232","216","30,94M","-3,48%"
"21/01/2021","230","234","236","228","27,78M","0,88%"
"20/01/2021","228","226","234","224","31,68M","0,88%"
"19/01/2021","226","234","236","224","34,90M","-3,42%"
"18/01/2021","234","240","240","230","23,62M","-2,50%"
"15/01/2021","240","238","246","234","42,69M","1,69%"
"14/01/2021","236","246","250","236","33,74M","-4,07%"
"13/01/2021","246","246","256","242","56,07M","0,82%"
"12/01/2021","244","240","246","236","42,51M","2,52%"
"11/01/2021","238","236","246","232","56,59M","-1,65%"
"08/01/2021","242","252","256","240","79,17M","-3,97%"
"07/01/2021","252","252","260","242","69,93M","0,00%"
"06/01/2021","252","268","268","246","103,68M","-4,55%"
"05/01/2021","264","270","280","260","179,10M","-2,22%"
"04/01/2021","270","278","284","266","150,85M","2,27%"
"30/12/2020","264","278","286","262","85,50M","-4,35%"
"29/12/2020","276","296","308","274","204,68M","-5,48%"
"28/12/2020","292","264","302","252","369,92M","13,18%"
"23/12/2020","258","278","282","254","117,23M","-5,15%"
"22/12/2020","272","292","292","272","252,11M","-6,85%"
"21/12/2020","292","260","296","254","363,05M","16,80%"
"18/12/2020","250","252","268","248","114,68M","1,63%"
"17/12/2020","246","232","260","230","256,39M","6,96%"
"16/12/2020","230","228","234","224","36,84M","1,77%"
"15/12/2020","226","226","226","214","22,51M","0,89%"
"14/12/2020","224","222","234","220","36,08M","1,82%"
"11/12/2020","220","220","224","218","11,27M","0,00%"
"10/12/2020","220","230","230","214","34,25M","-3,51%"
"08/12/2020","228","236","244","228","56,10M","-2,56%"
"07/12/2020","234","236","252","224","159,42M","1,74%"
"04/12/2020","230","224","230","220","85,28M","4,55%"
"03/12/2020","220","216","228","216","69,73M","2,80%"
"02/12/2020","214","214","218","212","26,09M","1,90%"
"01/12/2020","210","208","214","204","15,61M","1,94%"
"30/11/2020","206","208","218","204","42,02M","-5,50%"
"27/11/2020","218","216","220","212","46,91M","1,87%"
"26/11/2020","214","210","214","208","15,91M","1,90%"
"25/11/2020","210","212","214","208","19,26M","0,00%"
"24/11/2020","210","202","218","202","33,55M","-2,78%"
"23/11/2020","216","212","216","210","19,88M","2,86%"
"20/11/2020","210","210","214","210","9,33M","0,00%"
"19/11/2020","210","216","216","210","29,73M","-2,78%"
"18/11/2020","216","216","220","214","14,65M","0,00%"
"17/11/2020","216","212","220","212","23,40M","1,89%"
"16/11/2020","212","216","218","212","13,25M","0,00%"
"13/11/2020","212","212","214","210","7,64M","0,95%"
"12/11/2020","210","210","214","210","13,29M","-0,94%"
"11/11/2020","212","214","216","210","27,27M","0,00%"
"10/11/2020","212","220","220","210","77,43M","-5,36%"
"09/11/2020","224","228","230","222","27,47M","0,00%"
"06/11/2020","224","220","236","220","152,44M","2,75%"
"05/11/2020","218","206","218","206","44,25M","5,83%"
"04/11/2020","206","206","212","204","21,27M","0,98%"
"03/11/2020","204","208","212","204","15,23M","-0,97%"
"02/11/2020","206","210","210","202","13,30M","-1,90%"
"27/10/2020","210","216","218","208","18,85M","-1,87%"
"26/10/2020","214","220","220","214","8,72M","-0,93%"
"23/10/2020","216","216","220","212","17,97M","0,93%"
"22/10/2020","214","218","222","212","13,51M","-1,83%"
"21/10/2020","218","216","220","214","15,11M","1,87%"
"20/10/2020","214","218","220","212","11,07M","-1,83%"
"19/10/2020","218","220","222","214","12,39M","0,00%"
"16/10/2020","218","222","224","218","13,11M","-1,80%"
"15/10/2020","222","224","230","222","38,98M","-0,89%"
"14/10/2020","224","224","226","214","23,35M","0,00%"
"13/10/2020","224","228","228","220","17,58M","-1,75%"
"12/10/2020","228","230","236","226","50,32M","1,79%"
"09/10/2020","224","224","228","220","42,23M","1,82%"
"08/10/2020","220","214","224","214","33,03M","0,92%"
"07/10/2020","218","216","224","208","41,11M","0,00%"
"06/10/2020","218","220","222","216","18,41M","0,93%"
"05/10/2020","216","224","230","214","49,48M","-5,26%"
"02/10/2020","228","210","232","204","122,71M","9,62%"
"01/10/2020","208","206","210","204","9,70M","0,97%"
"30/09/2020","206","202","214","200","46,59M","4,57%"
"29/09/2020","197","208","208","195","19,68M","-1,01%"
"28/09/2020","199","192","208","187","40,63M","4,19%"
"25/09/2020","191","184","192","184","19,69M","3,80%"
"24/09/2020","184","191","194","183","19,40M","-5,15%"
"23/09/2020","194","190","206","190","21,08M","-3,00%"
"22/09/2020","200","212","212","200","47,85M","-6,54%"
"21/09/2020","214","228","232","214","25,80M","-6,14%"
"18/09/2020","228","220","236","218","46,86M","4,59%"
"17/09/2020","218","216","222","212","15,58M","0,93%"
"16/09/2020","216","222","222","214","12,82M","-2,70%"
"15/09/2020","222","220","228","220","31,52M","1,83%"
"14/09/2020","218","210","224","206","32,42M","5,83%"
"11/09/2020","206","196","210","194","51,25M","-0,96%"
"10/09/2020","208","224","226","208","21,14M","-6,31%"
"09/09/2020","222","232","234","216","28,11M","-3,48%"
"08/09/2020","230","234","236","228","18,26M","-1,71%"
"07/09/2020","234","236","238","232","13,76M","-0,85%"
"04/09/2020","236","242","242","230","31,18M","-2,48%"
"03/09/2020","242","250","250","240","29,78M","-3,20%"
"02/09/2020","250","256","256","248","42,38M","-3,10%"
"01/09/2020","258","248","258","242","77,11M","4,03%"
"31/08/2020","248","260","262","244","58,98M","-1,59%"
"28/08/2020","252","250","256","236","51,20M","0,80%"
"27/08/2020","250","254","258","248","35,55M","0,00%"
"26/08/2020","250","244","258","244","44,51M","-3,10%"
"25/08/2020","258","258","264","256","31,10M","-2,27%"
"24/08/2020","264","260","264","250","48,74M","0,00%"
"19/08/2020","264","280","282","262","75,66M","-5,04%"
"18/08/2020","278","264","278","262","160,16M","8,59%"
"14/08/2020","256","256","262","252","80,19M","1,59%"
"13/08/2020","252","266","266","250","52,08M","-2,33%"
"12/08/2020","258","252","258","246","109,50M","-1,53%"
"11/08/2020","262","272","276","258","115,81M","-2,96%"
"10/08/2020","270","270","280","262","96,93M","-2,17%"
"07/08/2020","276","286","294","272","154,87M","-2,82%"
"06/08/2020","284","300","300","282","306,36M","-2,07%"
"05/08/2020","290","278","294","274","482,47M","10,69%"
"04/08/2020","262","252","264","246","140,69M","5,65%"
"03/08/2020","248","266","276","242","163,10M","-4,62%"
"30/07/2020","260","276","278","258","76,62M","-4,41%"
"29/07/2020","272","270","278","264","125,57M","2,26%"
"28/07/2020","266","280","308","258","526,25M","-1,48%"
"27/07/2020","270","236","280","236","677,25M","19,47%"
"24/07/2020","226","230","244","218","231,32M","0,00%"
"23/07/2020","226","234","244","218","260,30M","-0,88%"
"22/07/2020","228","183","246","183","603,32M","24,59%"
"21/07/2020","183","182","185","179","18,13M","2,23%"
"20/07/2020","179","182","183","179","6,00M","-1,10%"
"17/07/2020","181","182","182","180","3,18M","-0,55%"
"16/07/2020","182","184","185","180","10,06M","0,00%"
"15/07/2020","182","182","185","180","6,91M","1,11%"
"14/07/2020","180","183","185","179","8,83M","-1,10%"
"13/07/2020","182","180","184","180","4,60M","1,11%"
"10/07/2020","180","187","188","179","13,00M","-3,74%"
"09/07/2020","187","183","188","183","16,92M","2,75%"
"08/07/2020","182","180","185","180","20,18M","2,25%"
"07/07/2020","178","179","180","177","4,04M","0,00%"
"06/07/2020","178","180","180","178","6,59M","-0,56%"
"03/07/2020","179","180","181","178","5,42M","0,00%"
"02/07/2020","179","183","185","179","8,81M","-2,19%"
"01/07/2020","183","178","185","177","24,51M","3,98%"
"30/06/2020","176","179","179","176","10,43M","-1,68%"
"29/06/2020","179","181","182","178","6,56M","-0,56%"
"26/06/2020","180","179","182","178","9,46M","0,56%"
"25/06/2020","179","182","183","178","17,11M","-2,72%"
"24/06/2020","184","184","186","184","9,62M","1,10%"
"23/06/2020","182","187","189","182","14,33M","-2,15%"
"22/06/2020","186","183","192","183","52,19M","2,20%"
"19/06/2020","182","183","184","180","4,83M","0,00%"
"18/06/2020","182","185","186","182","10,42M","-0,55%"
"17/06/2020","183","181","187","178","14,85M","2,23%"
"16/06/2020","179","179","183","178","11,04M","0,00%"
"15/06/2020","179","184","186","179","8,32M","-2,19%"
"12/06/2020","183","185","187","178","13,27M","-2,14%"
"11/06/2020","187","189","190","186","14,14M","-0,53%"
"10/06/2020","188","190","191","186","12,74M","-0,53%"
"09/06/2020","189","193","195","189","18,86M","-0,53%"
"08/06/2020","190","188","191","188","14,25M","1,06%"
"05/06/2020","188","190","190","187","5,95M","0,00%"
"04/06/2020","188","189","191","187","12,65M","-0,53%"
"03/06/2020","189","190","191","187","7,27M","-0,53%"
"02/06/2020","190","190","192","188","9,43M","0,53%"
"29/05/2020","189","188","194","188","18,42M","0,00%"
"28/05/2020","189","190","190","186","10,83M","-0,53%"
"27/05/2020","190","190","190","185","15,90M","0,00%"
"26/05/2020","190","190","191","186","16,72M","0,00%"
"20/05/2020","190","192","194","189","11,95M","0,00%"
"19/05/2020","190","200","202","190","30,25M","-4,52%"
"18/05/2020","199","192","204","191","69,70M","4,74%"
"15/05/2020","190","195","196","188","24,17M","-1,04%"
"14/05/2020","192","189","195","189","22,02M","1,05%"
"13/05/2020","190","188","191","187","10,06M","0,53%"
"12/05/2020","189","190","191","188","11,40M","-0,53%"
"11/05/2020","190","189","190","187","17,32M","1,06%"
"08/05/2020","188","192","194","188","20,14M","-1,05%"
"06/05/2020","190","192","192","188","9,82M","-0,52%"
"05/05/2020","191","192","193","190","11,23M","-0,52%"
"04/05/2020","192","193","194","190","9,13M","-0,52%"
"30/04/2020","193","190","196","189","15,52M","1,58%"
"29/04/2020","190","190","191","187","8,57M","0,00%"
"28/04/2020","190","192","192","186","19,17M","-2,06%"
"27/04/2020","194","195","197","190","15,46M","0,00%"
"24/04/2020","194","197","197","193","15,25M","0,52%"
"23/04/2020","193","192","199","192","20,81M","0,52%"
"22/04/2020","192","196","199","190","32,88M","-1,03%"
"21/04/2020","194","191","194","187","26,32M","2,11%"
"20/04/2020","190","196","196","190","14,13M","-2,56%"
"17/04/2020","195","202","202","194","21,81M","-2,01%"
"16/04/2020","199","194","202","191","24,88M","2,58%"
"15/04/2020","194","206","206","192","39,69M","-4,90%"
"14/04/2020","204","210","214","202","56,37M","0,00%"
"13/04/2020","204","204","206","199","31,48M","2,51%"
"09/04/2020","199","208","208","194","49,59M","-4,33%"
"08/04/2020","208","226","226","208","41,24M","-6,31%"
"07/04/2020","222","206","226","197","149,18M","12,69%"
"06/04/2020","197","200","200","195","27,55M","-0,51%"
"03/04/2020","198","199","204","197","22,95M","1,54%"
"02/04/2020","195","197","199","192","15,74M","1,04%"
"01/04/2020","193","188","196","186","11,55M","1,05%"
"31/03/2020","191","195","198","190","8,88M","0,00%"
"30/03/2020","191","202","202","191","13,82M","-6,37%"
"27/03/2020","204","220","226","202","28,64M","-5,56%"
"26/03/2020","216","224","230","214","26,83M","-1,82%"
"24/03/2020","220","220","226","214","26,01M","3,77%"
"23/03/2020","212","208","220","200","56,56M","0,95%"
"20/03/2020","210","199","222","195","62,14M","3,96%"
"19/03/2020","202","198","204","191","63,81M","1,00%"
"18/03/2020","200","206","208","194","54,41M","-2,91%"
"17/03/2020","206","197","208","188","50,87M","1,98%"
"16/03/2020","202","202","212","197","54,31M","-3,81%"
"13/03/2020","210","181","222","173","98,79M","13,51%"
"12/03/2020","185","188","196","173","77,90M","-3,65%"
"11/03/2020","192","195","204","187","90,35M","-2,04%"
"10/03/2020","196","190","199","185","73,99M","2,08%"
"09/03/2020","192","224","228","190","139,04M","-12,73%"
"06/03/2020","220","220","224","216","76,14M","2,80%"
"05/03/2020","214","228","228","210","106,39M","-3,60%"
"04/03/2020","222","220","228","216","96,73M","5,71%"
"03/03/2020","210","212","216","204","90,81M","0,96%"
"02/03/2020","208","210","218","202","82,57M","-2,80%"
"28/02/2020","214","238","238","200","136,99M","-10,83%"
"27/02/2020","240","252","260","232","108,66M","-4,76%"
"26/02/2020","252","252","260","244","81,47M","-2,33%"
"25/02/2020","258","274","274","254","99,86M","-6,52%"
"24/02/2020","276","264","280","264","127,35M","5,34%"
"21/02/2020","262","254","264","250","103,34M","4,80%"
"20/02/2020","250","244","254","242","116,42M","3,31%"
"19/02/2020","242","236","246","228","115,79M","6,14%"
"18/02/2020","228","228","236","224","75,42M","0,00%"
"17/02/2020","228","226","232","220","61,41M","1,79%"
"14/02/2020","224","228","228","216","47,61M","1,82%"
"13/02/2020","220","226","226","212","53,90M","-2,65%"
"12/02/2020","226","228","228","222","48,20M","-0,88%"
"11/02/2020","228","230","232","222","55,86M","0,00%"
"10/02/2020","228","246","246","226","65,92M","-5,79%"
"07/02/2020","242","224","242","224","67,42M","9,01%"
"06/02/2020","222","224","230","222","50,73M","-0,89%"
"05/02/2020","224","226","228","218","59,49M","-0,88%"
"04/02/2020","226","234","244","224","63,21M","-3,42%"
"03/02/2020","234","244","250","232","62,35M","-4,10%"
"31/01/2020","244","262","262","240","84,48M","-6,87%"
"30/01/2020","262","250","262","244","87,74M","7,38%"
"29/01/2020","244","254","258","238","85,14M","-3,94%"
"28/01/2020","254","266","266","252","85,14M","-1,55%"
"27/01/2020","258","268","278","252","103,71M","-3,73%"
"24/01/2020","268","264","274","260","91,40M","1,52%"
"23/01/2020","264","256","266","250","96,33M","3,13%"
"22/01/2020","256","264","266","246","103,68M","-3,03%"
"21/01/2020","264","284","284","220","250,39M","-5,04%"
"20/01/2020","278","286","290","270","98,97M","-2,80%"
"17/01/2020","286","290","300","282","108,05M","-1,38%"
"16/01/2020","290","296","302","282","105,95M","-1,36%"
"15/01/2020","294","286","298","282","113,78M","2,80%"
"14/01/2020","286","298","298","278","102,90M","-4,03%"
"13/01/2020","298","310","316","296","90,83M","-3,87%"
"10/01/2020","310","296","312","292","106,60M","4,03%"
"09/01/2020","298","320","320","296","134,12M","-9,15%"
"08/01/2020","328","314","346","312","235,56M","6,49%"
"07/01/2020","308","298","308","288","134,08M","3,36%"
"06/01/2020","298","296","312","294","154,35M","2,76%"
"03/01/2020","290","266","292","260","151,60M","11,54%"
"02/01/2020","260","262","274","260","102,33M","0,00%"
"30/12/2019","260","262","268","258","100,66M","0,00%"
"27/12/2019","260","266","274","250","122,23M","-1,52%"
"26/12/2019","264","248","264","244","127,70M","8,20%"
"23/12/2019","244","252","256","242","93,26M","-3,17%"
"20/12/2019","252","244","252","242","92,99M","3,28%"
"19/12/2019","244","244","252","238","100,12M","0,00%"
"18/12/2019","244","246","258","236","118,52M","-0,81%"
"17/12/2019","246","232","248","230","102,39M","6,03%"
"16/12/2019","232","240","240","230","91,41M","-3,33%"
"13/12/2019","240","236","242","224","98,59M","1,69%"
"12/12/2019","236","240","248","230","102,58M","-0,84%"
"11/12/2019","238","216","240","210","126,48M","10,19%"
"10/12/2019","216","220","222","210","89,69M","-1,82%"
"09/12/2019","220","238","238","212","124,49M","-8,33%"
"06/12/2019","240","248","258","230","103,50M","-3,23%"
"05/12/2019","248","252","260","238","122,22M","-0,80%"
"04/12/2019","250","224","256","220","143,69M","13,64%"
"03/12/2019","220","224","238","220","110,90M","-2,65%"
"02/12/2019","226","199","230","196","108,39M","13,57%"
"29/11/2019","199","214","220","197","93,11M","-6,13%"
"28/11/2019","212","218","232","208","102,40M","-2,75%"
"27/11/2019","218","208","240","196","128,23M","6,86%"
"26/11/2019","204","220","220","202","75,05M","-4,67%"
"25/11/2019","214","230","240","214","77,21M","-6,14%"
"22/11/2019","228","240","240","214","125,26M","-6,56%"
"21/11/2019","244","250","252","238","91,96M","-2,40%"
"20/11/2019","250","258","262","248","92,00M","-3,10%"
"19/11/2019","258","264","270","254","87,79M","-1,53%"
"18/11/2019","262","262","268","258","64,94M","0,00%"
"15/11/2019","262","268","272","258","71,14M","-0,76%"
"14/11/2019","264","266","272","256","62,93M","-0,75%"
"13/11/2019","266","274","274","264","62,15M","-2,92%"
"12/11/2019","274","276","278","260","74,65M","-0,72%"
"11/11/2019","276","264","278","248","94,42M","5,34%"
"08/11/2019","262","280","280","258","89,60M","-5,76%"
"07/11/2019","278","278","284","260","73,64M","0,00%"
"06/11/2019","278","282","290","276","75,62M","-2,80%"
"05/11/2019","286","294","302","284","61,96M","-2,72%"
"04/11/2019","294","296","300","278","72,62M","0,00%"
"01/11/2019","294","298","308","288","74,02M","-1,34%"
"31/10/2019","298","300","314","276","101,86M","-0,67%"
"30/10/2019","300","298","302","290","63,39M","0,67%"
"29/10/2019","298","298","298","288","57,64M","0,00%"
"28/10/2019","298","300","302","292","48,56M","0,68%"
